方法,∅,{A1},{A2},{A3},{A4},{A1 ∪ A2},{A1 ∪ A3},{A1 ∪ A4},{A2 ∪ A3},{A2 ∪ A4},{A3 ∪ A4},{A1 ∪ A2 ∪ A3},{A1 ∪ A2 ∪ A4},{A1 ∪ A3 ∪ A4},{A2 ∪ A3 ∪ A4},{A1 ∪ A2 ∪ A3 ∪ A4}
Dempster,0.0000,0.2500,0.2500,0.2500,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Murphy,0.0000,0.2500,0.2500,0.2500,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Deng,0.0000,0.2500,0.2500,0.2500,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BJS Pure (Xiao),0.0000,0.2500,0.2500,0.2500,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BJS Origin (Xiao),0.0000,0.2500,0.2500,0.2500,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RB (Xiao),0.0000,0.2500,0.2500,0.2500,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Proposed,0.0000,0.2500,0.2500,0.2500,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
