alpha,delta,RD_CCJS
0.25,1e-05,0.402921
0.26,1e-05,0.411033
0.27,1e-05,0.419044
0.28,1e-05,0.42696
0.29,1e-05,0.434788
0.3,1e-05,0.442534
0.31,1e-05,0.450203
0.32,1e-05,0.457799
0.33,1e-05,0.465328
0.34,1e-05,0.472793
0.35,1e-05,0.4802
0.36,1e-05,0.487552
0.37,1e-05,0.494852
0.38,1e-05,0.502104
0.39,1e-05,0.509312
0.4,1e-05,0.516479
0.41,1e-05,0.523608
0.42,1e-05,0.530702
0.43,1e-05,0.537764
0.44,1e-05,0.544796
0.45,1e-05,0.551802
0.46,1e-05,0.558783
0.47,1e-05,0.565744
0.48,1e-05,0.572686
0.49,1e-05,0.579611
0.5,1e-05,0.586523
0.51,1e-05,0.593423
0.52,1e-05,0.600315
0.53,1e-05,0.6072
0.54,1e-05,0.614081
0.55,1e-05,0.620961
0.56,1e-05,0.627842
0.57,1e-05,0.634727
0.58,1e-05,0.641618
0.59,1e-05,0.648518
0.6,1e-05,0.65543
0.61,1e-05,0.662355
0.62,1e-05,0.669298
0.63,1e-05,0.676261
0.64,1e-05,0.683247
0.65,1e-05,0.69026
0.66,1e-05,0.697302
0.67,1e-05,0.704377
0.68,1e-05,0.711489
0.69,1e-05,0.718642
0.7,1e-05,0.72584
0.71,1e-05,0.733087
0.72,1e-05,0.740388
0.73,1e-05,0.747749
0.74,1e-05,0.755174
0.75,1e-05,0.762669
0.76,1e-05,0.770242
0.77,1e-05,0.777899
0.78,1e-05,0.785648
0.79,1e-05,0.793498
0.8,1e-05,0.801459
0.81,1e-05,0.80954
0.82,1e-05,0.817755
0.83,1e-05,0.826118
0.84,1e-05,0.834643
0.85,1e-05,0.84335
0.86,1e-05,0.85226
0.87,1e-05,0.861399
0.88,1e-05,0.870796
0.89,1e-05,0.880489
0.9,1e-05,0.890525
0.91,1e-05,0.900964
0.92,1e-05,0.911894
0.93,1e-05,0.923446
0.94,1e-05,0.935845
0.95,1e-05,0.949529
0.96,1e-05,0.965433
0.97,1e-05,0.985655
0.98,1e-05,1.014805
0.99,1e-05,1.061627
1.0,1e-05,1.150204
0.0,3.2e-05,0.005825
0.01,3.2e-05,0.084006
0.02,3.2e-05,0.130886
0.03,3.2e-05,0.160067
0.04,3.2e-05,0.180637
0.05,3.2e-05,0.197249
0.06,3.2e-05,0.211885
0.07,3.2e-05,0.225369
0.08,3.2e-05,0.238068
0.09,3.2e-05,0.250163
0.1,3.2e-05,0.261763
0.11,3.2e-05,0.272937
0.12,3.2e-05,0.28374
0.13,3.2e-05,0.294213
0.14,3.2e-05,0.304391
0.15,3.2e-05,0.314304
0.16,3.2e-05,0.323975
0.17,3.2e-05,0.333427
0.18,3.2e-05,0.342678
0.19,3.2e-05,0.351745
0.2,3.2e-05,0.360643
0.21,3.2e-05,0.369383
0.22,3.2e-05,0.377979
0.23,3.2e-05,0.38644
0.24,3.2e-05,0.394777
0.25,3.2e-05,0.402997
0.26,3.2e-05,0.411109
0.27,3.2e-05,0.41912
0.28,3.2e-05,0.427036
0.29,3.2e-05,0.434865
0.3,3.2e-05,0.44261
0.31,3.2e-05,0.450279
0.32,3.2e-05,0.457875
0.33,3.2e-05,0.465404
0.34,3.2e-05,0.47287
0.35,3.2e-05,0.480277
0.36,3.2e-05,0.487629
0.37,3.2e-05,0.494929
0.38,3.2e-05,0.502182
