方法,∅,{A1},{A2},{A3},{A1 ∪ A2},{A1 ∪ A3},{A2 ∪ A3},{A1 ∪ A2 ∪ A3}
Dempster,0.0000,0.3334,0.3333,0.3334,0.0000,0.0000,0.0000,0.0000
Murphy,0.0000,0.3334,0.3333,0.3334,0.0000,0.0000,0.0000,0.0000
Deng,0.0000,0.3334,0.3333,0.3334,0.0000,0.0000,0.0000,0.0000
BJS Pure (Xiao),0.0000,0.3336,0.3334,0.3336,0.0000,0.0000,0.0000,0.0000
BJS Origin (Xiao),0.0000,0.3333,0.3333,0.3335,0.0000,0.0000,0.0000,0.0000
RB (Xiao),0.0000,0.3333,0.3333,0.3335,0.0000,0.0000,0.0000,0.0000
Proposed,0.0000,0.3334,0.3333,0.3334,0.0000,0.0000,0.0000,0.0000
