BBA,Dempster,Murphy,Deng,BJS Pure (Xiao),BJS Origin (Xiao),RB (Xiao),Proposed
m1,—,0.5000,0.5000,0.5000,0.4481,0.5000,0.5000
m2,—,0.5000,0.5000,0.5000,0.5519,0.5000,0.5000
