methods,∅,{A},{B},{C},{A ∪ B},{A ∪ C},{B ∪ C},{A ∪ B ∪ C}
Dempster,0.0000,0.0000,0.1404,0.8596,0.0000,0.0000,0.0000,0.0000
Murphy,0.0000,0.9688,0.0156,0.0127,0.0000,0.0029,0.0000,0.0000
Deng,0.0000,0.9869,0.0010,0.0088,0.0000,0.0032,0.0000,0.0000
BJS Pure (Xiao),0.0000,0.9856,0.0012,0.0081,0.0000,0.0036,0.0000,0.0000
BJS Origin (Xiao),0.0000,0.9903,0.0001,0.0051,0.0000,0.0044,0.0000,0.0000
RB (Xiao),0.0000,0.9869,0.0007,0.0096,0.0000,0.0027,0.0000,0.0000
Proposed,0.0000,0.9880,0.0006,0.0079,0.0000,0.0035,0.0000,0.0000
