BBA,Dempster,Murphy,Deng,BJS Pure (Xiao),BJS Origin (Xiao),RB (Xiao),Proposed
m1,—,0.3333,0.2501,0.2932,0.0627,0.3012,0.3058
m2,—,0.3333,0.2501,0.2932,0.0627,0.3012,0.3058
m4,—,0.3333,0.4999,0.4136,0.8746,0.3977,0.3884
