alpha,epsilon,RD_CCJS
0.32,0.007197,0.458118
0.33,0.007197,0.465647
0.34,0.007197,0.473113
0.35,0.007197,0.480521
0.36,0.007197,0.487873
0.37,0.007197,0.495174
0.38,0.007197,0.502428
0.39,0.007197,0.509637
0.4,0.007197,0.516804
0.41,0.007197,0.523934
0.42,0.007197,0.531029
0.43,0.007197,0.538092
0.44,0.007197,0.545125
0.45,0.007197,0.552132
0.46,0.007197,0.559115
0.47,0.007197,0.566077
0.48,0.007197,0.57302
0.49,0.007197,0.579947
0.5,0.007197,0.58686
0.51,0.007197,0.593761
0.52,0.007197,0.600654
0.53,0.007197,0.607541
0.54,0.007197,0.614424
0.55,0.007197,0.621305
0.56,0.007197,0.628188
0.57,0.007197,0.635074
0.58,0.007197,0.641967
0.59,0.007197,0.648868
0.6,0.007197,0.655781
0.61,0.007197,0.662708
0.62,0.007197,0.669653
0.63,0.007197,0.676617
0.64,0.007197,0.683605
0.65,0.007197,0.690619
0.66,0.007197,0.697663
0.67,0.007197,0.70474
0.68,0.007197,0.711854
0.69,0.007197,0.719008
0.7,0.007197,0.726208
0.71,0.007197,0.733457
0.72,0.007197,0.74076
0.73,0.007197,0.748122
0.74,0.007197,0.755549
0.75,0.007197,0.763047
0.76,0.007197,0.770622
0.77,0.007197,0.778281
0.78,0.007197,0.786032
0.79,0.007197,0.793884
0.8,0.007197,0.801847
0.81,0.007197,0.809931
0.82,0.007197,0.818148
0.83,0.007197,0.826513
0.84,0.007197,0.835041
0.85,0.007197,0.84375
0.86,0.007197,0.852663
0.87,0.007197,0.861803
0.88,0.007197,0.871203
0.89,0.007197,0.880897
0.9,0.007197,0.890931
0.91,0.007197,0.901362
0.92,0.007197,0.912263
0.93,0.007197,0.923735
0.94,0.007197,0.935927
0.95,0.007197,0.949089
0.96,0.007197,0.963753
0.97,0.007197,0.98133
0.98,0.007197,1.006131
0.99,0.007197,1.050825
1.0,0.007197,1.151264
0.0,0.019307,0.005787
0.01,0.019307,0.066808
0.02,0.019307,0.108283
0.03,0.019307,0.140992
0.04,0.019307,0.167128
0.05,0.019307,0.18847
0.06,0.019307,0.206454
0.07,0.019307,0.222126
0.08,0.019307,0.236197
0.09,0.019307,0.249135
0.1,0.019307,0.261245
0.11,0.019307,0.272727
0.12,0.019307,0.283714
0.13,0.019307,0.294297
0.14,0.019307,0.30454
0.15,0.019307,0.314491
0.16,0.019307,0.324185
0.17,0.019307,0.33365
0.18,0.019307,0.342909
0.19,0.019307,0.35198
0.2,0.019307,0.36088
0.21,0.019307,0.369622
0.22,0.019307,0.378219
0.23,0.019307,0.386681
0.24,0.019307,0.395017
0.25,0.019307,0.403238
0.26,0.019307,0.41135
0.27,0.019307,0.419361
0.28,0.019307,0.427277
0.29,0.019307,0.435106
0.3,0.019307,0.442852
0.31,0.019307,0.450521
0.32,0.019307,0.458118
0.33,0.019307,0.465647
0.34,0.019307,0.473113
0.35,0.019307,0.480521
0.36,0.019307,0.487873
0.37,0.019307,0.495174
0.38,0.019307,0.502428
0.39,0.019307,0.509637
0.4,0.019307,0.516804
0.41,0.019307,0.523934
0.42,0.019307,0.531029
0.43,0.019307,0.538092
0.44,0.019307,0.545125
0.45,0.019307,0.552132
0.46,0.019307,0.559115
0.47,0.019307,0.566077
0.48,0.019307,0.57302
0.49,0.019307,0.579947
0.5,0.019307,0.58686
0.51,0.019307,0.593761
0.52,0.019307,0.600654
0.53,0.019307,0.607541
0.54,0.019307,0.614424
0.55,0.019307,0.621305
0.56,0.019307,0.628188
0.57,0.019307,0.635074
0.58,0.019307,0.641967
0.59,0.019307,0.648868
0.6,0.019307,0.655781
0.61,0.019307,0.662708
0.62,0.019307,0.669653
0.63,0.019307,0.676617
0.64,0.019307,0.683605
0.65,0.019307,0.690619
0.66,0.019307,0.697663
0.67,0.019307,0.70474
0.68,0.019307,0.711854
0.69,0.019307,0.719008
0.7,0.019307,0.726208
0.71,0.019307,0.733457
0.72,0.019307,0.74076
0.73,0.019307,0.748123
0.74,0.019307,0.75555
0.75,0.019307,0.763048
0.76,0.019307,0.770623
0.77,0.019307,0.778282
0.78,0.019307,0.786034
0.79,0.019307,0.793888
0.8,0.019307,0.801852
0.81,0.019307,0.80994
0.82,0.019307,0.818163
0.83,0.019307,0.826538
0.84,0.019307,0.835084
0.85,0.019307,0.843822
0.86,0.019307,0.852782
0.87,0.019307,0.862003
0.88,0.019307,0.871534
0.89,0.019307,0.881448
0.9,0.019307,0.891847
0.91,0.019307,0.90288
0.92,0.019307,0.914771
0.93,0.019307,0.927859
0.94,0.019307,0.942653
0.95,0.019307,0.959914
0.96,0.019307,0.980733
0.97,0.019307,1.006588
0.98,0.019307,1.039324
0.99,0.019307,1.081313
1.0,0.019307,1.150845
0.0,0.051795,0.005776
0.01,0.051795,0.056235
0.02,0.051795,0.086933
0.03,0.051795,0.112922
0.04,0.051795,0.136254
0.05,0.051795,0.15762
0.06,0.051795,0.177358
0.07,0.051795,0.195678
0.08,0.051795,0.212741
0.09,0.051795,0.228682
0.1,0.051795,0.243624
0.11,0.051795,0.257678
0.12,0.051795,0.270943
0.13,0.051795,0.283511
0.14,0.051795,0.295465
0.15,0.051795,0.306876
0.16,0.051795,0.317809
0.17,0.051795,0.328321
0.18,0.051795,0.338461
0.19,0.051795,0.348272
0.2,0.051795,0.357791
0.21,0.051795,0.367051
0.22,0.051795,0.37608
0.23,0.051795,0.384902
0.24,0.051795,0.393539
0.25,0.051795,0.40201
0.26,0.051795,0.41033
0.27,0.051795,0.418514
0.28,0.051795,0.426575
0.29,0.051795,0.434523
0.3,0.051795,0.442368
0.31,0.051795,0.45012
0.32,0.051795,0.457785
0.33,0.051795,0.465371
0.34,0.051795,0.472885
0.35,0.051795,0.480332
0.36,0.051795,0.487717
0.37,0.051795,0.495045
0.38,0.051795,0.502321
0.39,0.051795,0.509549
0.4,0.051795,0.516732
0.41,0.051795,0.523875
0.42,0.051795,0.530981
0.43,0.051795,0.538053
0.44,0.051795,0.545094
0.45,0.051795,0.552108
0.46,0.051795,0.559097
0.47,0.051795,0.566063
0.48,0.051795,0.573011
0.49,0.051795,0.579942
0.5,0.051795,0.58686
0.51,0.051795,0.593766
0.52,0.051795,0.600663
0.53,0.051795,0.607555
0.54,0.051795,0.614443
0.55,0.051795,0.62133
0.56,0.051795,0.62822
0.57,0.051795,0.635115
0.58,0.051795,0.642017
0.59,0.051795,0.64893
0.6,0.051795,0.655857
0.61,0.051795,0.662802
0.62,0.051795,0.669767
0.63,0.051795,0.676756
0.64,0.051795,0.683774
0.65,0.051795,0.690824
0.66,0.051795,0.697912
0.67,0.051795,0.705042
0.68,0.051795,0.71222
0.69,0.051795,0.719453
0.7,0.051795,0.726747
0.71,0.051795,0.73411
0.72,0.051795,0.741551
0.73,0.051795,0.749079
0.74,0.051795,0.756708
0.75,0.051795,0.764448
0.76,0.051795,0.772316
0.77,0.051795,0.780329
0.78,0.051795,0.788506
0.79,0.051795,0.796871
0.8,0.051795,0.80545
0.81,0.051795,0.814273
0.82,0.051795,0.823378
0.83,0.051795,0.832804
0.84,0.051795,0.8426
0.85,0.051795,0.852819
0.86,0.051795,0.863526
0.87,0.051795,0.87479
0.88,0.051795,0.886694
0.89,0.051795,0.899326
0.9,0.051795,0.912787
0.91,0.051795,0.927188
0.92,0.051795,0.942649
0.93,0.051795,0.959301
0.94,0.051795,0.977288
0.95,0.051795,0.996776
0.96,0.051795,1.01797
0.97,0.051795,1.041178
0.98,0.051795,1.066991
0.99,0.051795,1.097035
1.0,0.051795,1.150689
0.0,0.13895,0.005776
0.01,0.13895,0.053386
0.02,0.13895,0.079753
0.03,0.13895,0.101133
0.04,0.13895,0.120032
0.05,0.13895,0.137383
0.06,0.13895,0.153644
0.07,0.13895,0.169075
0.08,0.13895,0.18384
0.09,0.13895,0.198045
0.1,0.13895,0.211768
0.11,0.13895,0.225063
0.12,0.13895,0.237972
0.13,0.13895,0.250529
0.14,0.13895,0.26276
0.15,0.13895,0.274687
0.16,0.13895,0.28633
0.17,0.13895,0.297704
0.18,0.13895,0.308824
0.19,0.13895,0.319704
0.2,0.13895,0.330356
0.21,0.13895,0.340791
0.22,0.13895,0.35102
0.23,0.13895,0.361053
0.24,0.13895,0.370899
0.25,0.13895,0.380569
0.26,0.13895,0.390071
0.27,0.13895,0.399414
0.28,0.13895,0.408606
0.29,0.13895,0.417654
0.3,0.13895,0.426568
0.31,0.13895,0.435354
0.32,0.13895,0.444019
0.33,0.13895,0.452572
0.34,0.13895,0.461019
0.35,0.13895,0.469366
0.36,0.13895,0.477621
0.37,0.13895,0.485789
0.38,0.13895,0.493877
0.39,0.13895,0.501892
0.4,0.13895,0.509838
0.41,0.13895,0.517722
0.42,0.13895,0.52555
0.43,0.13895,0.533327
