methods,∅,{A},{B},{C},{A ∪ B},{A ∪ C},{B ∪ C},{A ∪ B ∪ C}
Dempster,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Murphy,0.0000,0.9966,0.0000,0.0034,0.0000,0.0000,0.0000,0.0000
Deng,0.0000,0.9984,0.0000,0.0016,0.0000,0.0000,0.0000,0.0000
BJS Pure (Xiao),0.0000,0.9987,0.0000,0.0013,0.0000,0.0000,0.0000,0.0000
BJS Origin (Xiao),0.0000,0.9990,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000
RB (Xiao),0.0000,0.7630,0.0000,0.2370,0.0000,0.0000,0.0000,0.0000
Proposed,0.0000,0.9997,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000
