BBA,Dempster,Murphy,Deng,BJS Pure (Xiao),BJS Origin (Xiao),RB (Xiao),Proposed
m1,—,0.1250,0.1199,0.1092,0.0812,0.1342,0.1048
m2,—,0.1250,0.1279,0.1271,0.1419,0.1369,0.1650
m3,—,0.1250,0.1279,0.1271,0.1419,0.1369,0.1650
m4,—,0.1250,0.1283,0.1365,0.1351,0.1653,0.1648
m5,—,0.1250,0.1199,0.1092,0.0812,0.1342,0.1048
m6,—,0.1250,0.1251,0.1271,0.1419,0.0966,0.1181
m7,—,0.1250,0.1251,0.1271,0.1419,0.0966,0.1181
m8,—,0.1250,0.1260,0.1365,0.1351,0.0992,0.0594
