方法,∅,{A},{B},{C},{A ∪ B},{A ∪ C},{B ∪ C},{A ∪ B ∪ C}
Dempster,0.0000,0.9701,0.0005,0.0293,0.0000,0.0000,0.0000,0.0000
Murphy,0.0000,0.9727,0.0006,0.0174,0.0000,0.0094,0.0000,0.0000
Deng,0.0000,0.9741,0.0005,0.0149,0.0000,0.0105,0.0000,0.0000
BJS Pure (Xiao),0.0000,0.9784,0.0003,0.0068,0.0000,0.0145,0.0000,0.0000
BJS Origin (Xiao),0.0000,0.9789,0.0002,0.0049,0.0000,0.0159,0.0000,0.0000
RB (Xiao),0.0000,0.9875,0.0002,0.0000,0.0000,0.0123,0.0000,0.0000
Proposed,0.0000,0.9782,0.0003,0.0068,0.0000,0.0147,0.0000,0.0000
