方法,∅,{A},{B},{C},{A ∪ B},{A ∪ C},{B ∪ C},{A ∪ B ∪ C}
Dempster,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Murphy,0.0000,0.9999,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
Deng,0.0000,0.9999,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
BJS Pure (Xiao),0.0000,0.9951,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
BJS Origin (Xiao),0.0000,0.9999,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
RB (Xiao),0.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Proposed,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
